Title: 以结构特点为特征的排气装置或消音装置

Code: F01N13/00

========================================

F01N13/02 具有两个或多个独立的串联的消音器装置

F01N13/04 具有两个或多个并联的消音器，例如用于多汽缸发动机的互相连接装置

F01N13/06 专门适用于星形排列的汽缸，如排气歧管

F01N13/08 排气管的其他装置或适配装置

F01N13/10 排气歧管装置

F01N13/12 专门适用于水下排气

F01N13/14 具有热绝缘

F01N13/16 特殊材料的选择

F01N13/18 便于制造、组装和拆卸的结构

F01N13/20 具有扩张式出口，例如鱼尾形出口

