Title: 以消音方法为特点的消音装置

Code: F01N1/00

========================================

F01N1/02 用谐振方法

F01N1/04 在谐振室中装有吸声材料

F01N1/06 用干涉方法

F01N1/08 用节流或涡流来减少排气能量

F01N1/10 和吸声材料结合使用

F01N1/12 用螺旋形通道（F01N1/10优先；旋风器入B04C）

F01N1/14 将空气加入排气中

F01N1/16 利用活动件

F01N1/18 具有旋转运动

F01N1/20 具有摆动或振动（有弹性壁的零件入F01N1/22）

F01N1/22 有弹性壁的零件

F01N1/24 利用吸声材料（F01N1/04，F01N1/06，F01N1/10，F01N1/14，F01N1/16优先）

