Title: 其他类目不专门包含的用于产生装饰表面效果的工艺（装饰织品入D06Q）

Code: B44C1/00

========================================

B44C1/02 烙画

B44C1/04 产生沉淀的（电解产生沉淀的入C25D）

B44C1/10 应用扁平料的，例如叶片、编织片（裱糊入B44C7/00）

B44C1/14 金属片或金属箔的，例如金片

B44C1/16 用于实施转印图画或类似饰面的

B44C1/165 用于移画印花法的；及其所用的片料（用于实施移画印花法的设备或机器入B65C）

B44C1/17 干转印的

B44C1/175 用溶剂转印的

B44C1/18 应用装饰结构的，例如由塑性材料组成的成型体

B44C1/20 涂敷塑性材料的和这些材料表面的浮面成型的

B44C1/22 去除表面材料的，例如通过雕刻、通过蚀刻的

B44C1/24 在表面上压印或打印装饰图的

B44C1/26 用装饰结构来镶嵌的，例如乌银镶嵌制品、镶木制品的

B44C1/28 装饰件在支承上的连接，例如镶嵌制品

