Title: 产品系间歇卷绕的纺纱机或加捻机，如走锭纺纱机

Code: D01H3/00

========================================

D01H3/02 零件（牵伸机构入D01H5/00；加捻机构入D01H7/00）

D01H3/04 走车；影响走车运动的机构

D01H3/06 走车；走车轨；均衡运动机构

D01H3/08 出车或卷取运动机构

D01H3/10 活动架装置，如用于走动捻线机的

D01H3/12 卷装成型机构；坠杆机构

D01H3/14 罗拉传动机构

D01H3/16 锭子传动装置（锭子、锭子轴承、锭子架入D01H7/04）

D01H3/18 白铁辊，与其紧连的传动装置

D01H3/20 出车或退绕过程中的锭子传动装置

D01H3/22 卷取时的锭传动装置

D01H3/24 扇形机械；管鼻成型装置

D01H3/26 其他类未包括的传动或停车机构，闭锁机构（安全机构入D01H13/14）

