Title: 在收发站更换筒管、管芯、容器或完全改换卷装的设备

Code: D01H9/00

========================================

D01H9/02 在接收站卸下筒纱并更换筒管、管芯或容器；从相邻的满筒到空筒之间的转移材料

D01H9/04 与细纱机或捻线机结合在一起的落纱装置

D01H9/06 将纱线从离心式纺杯移至纱线运输工具上

D01H9/08 与细纱机或捻线机不连在一起的单独落纱装置

D01H9/10 落纱小车

D01H9/12 手工摆筒机；摆筒机台座

D01H9/14 为落纱作准备的机器

D01H9/16 纱线切断装置

D01H9/18 向收发站供应或从那里运走筒管、管芯、容器或成型卷装的设备（D01H9/10优先）

