Title: 实质上由金属组成的层状产品

Code: B32B15/00

========================================

B32B15/01 所有各薄层只是金属的

B32B15/02 用金属片之外的其他形式，如金属丝、金属颗粒

B32B15/04 由金属组成作为薄层的主要或惟一的成分，它与另一层由一种特定物质构成的薄层 相贴

B32B15/06 橡胶的

B32B15/08 合成树脂的

B32B15/082 含有乙烯基树脂；含有丙烯酸树脂

B32B15/085 含有聚烯烃

B32B15/088 含有聚酰胺

B32B15/09 含有聚酯

B32B15/092 含有环氧树脂

B32B15/095 含有聚氨酯

B32B15/098 含有醛的缩合树脂，例如，与酚类、脲类或三聚氰胺类的缩合树脂

B32B15/10 木质的

B32B15/12 纸或纸板的

B32B15/14 与一层纤维的或细丝的薄层相贴

B32B15/16 与一层颗粒薄层相贴

B32B15/18 由铁或钢组成

B32B15/20 由铝或铜组成

