Title: 用于提供配电网络中的设备的远程监视或远程控制的电路布置

Code: H02J13/00

========================================

H02J13/10 以显示信息或用户交互为特征，例如监控和数据采集[SCADA]系统

H02J13/12 监测电力网络状况，例如电量或运行状态

H02J13/13 以向电网中的设备传输数据为特征的

H02J13/14 电力网络由本地控制的，例如家庭能源管理系统

H02J13/16 电力网络在电网层面被控制的，例如使用聚合器

H02J13/18 以远程控制设备为特征的，例如转换器或变压器

H02J13/181 设备包括发电机

H02J13/182 设备包括连接到电网的负载

H02J13/183 设备包括能量存储系统

H02J13/333 设备构成为变电站的一部分

H02J13/34 设备为开关、继电器或断路器

H02J13/36 特别适用于保护系统

H02J13/38 设备是电源插座

