Title: 挠性细长元件，例如用于捆扎或支承物件的窄带

Code: B65D63/00

========================================

B65D63/02 金属窄带、条带、带材；其端部间的接头

B65D63/04 由元件端部的变形而产生的接头

B65D63/06 以应用分开的固定件产生的接头，如以其变形

B65D63/08 使用固定到元件端部上的扣环、楔或类似的锁紧件的接头

B65D63/10 非金属窄带、条带或带材；细丝元件，如细绳、线或金属丝；其端部间的接头

B65D63/12 由元件端部的变形或打结产生的接头

B65D63/14 以应用分开的固定件产生的接头

B65D63/16 使用固定到元件端部上的扣环、楔或类似的锁紧件的接头

B65D63/18 装有把手或其他悬吊装置的元件

