Title: 用于刚性或半刚性容器的盖或罩

Code: B65D43/00

========================================

B65D43/02 可拆除的盖或罩（带有穿透、切割或撕裂易折断的内封口入B65D51/22）

B65D43/03 可套叠或可堆垛的

B65D43/04 具有一部分或几部分在容器口内配合并靠摩擦或重力保持的

B65D43/06 具有容纳容器边缘的圆周沟槽

B65D43/08 具有装配在容器边缘上的圆周凸缘

B65D43/10 并靠咬合在卷边或突出部分上保持的

B65D43/12 通过滑动导致卸下的

B65D43/14 不可拆除的盖或罩

B65D43/16 用于向上或向下运动的铰接

B65D43/18 用于在容器口平面内移动而装在枢轴上的

B65D43/20 可直线滑动的

B65D43/22 保持封闭位置的装置，如夹子

B65D43/24 保持开启位置的装置

B65D43/26 开启或封闭机构，如脚踏操纵的

