Title: 配置在颈内的或倾注口内或出料口内的封口件，如塞子（盖或罩入B65D43/00）

Code: B65D39/00

========================================

B65D39/02 盘形封口

B65D39/04 杯状塞子或类似的有突缘中空件

B65D39/06 球塞

B65D39/08 有螺纹的或用旋转动作固定的类似封口件；所用的套筒

B65D39/10 带有卡口式凸轮

B65D39/12 可扩张的，如可充气的

B65D39/14 通过颈内的侧向开口延伸的

B65D39/16 带有便于手工开启的把手或其他特殊装置

B65D39/18 带有抗摩擦或耐磨涂层或覆盖层

