Title: 过热温度的控制

Code: F22G5/00

========================================

F22G5/02 燃烧控制设备的使用，例如切向燃烧器、摆动燃烧器

F22G5/04 采用调节烟气流量的，例如按比例或分流

F22G5/06 采用再循环烟气的

F22G5/08 经再循环风机预防炉气回流

F22G5/10 采用移动过热器区域的

F22G5/12 采用过热蒸汽的温度调节，例如通过喷射水喷雾

F22G5/14 用新鲜蒸汽的

F22G5/16 通过在封闭式辅助热交换器内间接冷却或加热过热蒸汽

F22G5/18 采用旁路蒸汽绕过过热器区域的

F22G5/20 采用结合控制程序的

