Title: 在发送垛堆或物件流中形成计数的分批物件

Code: B65H33/00

========================================

B65H33/02 通过将刮板或类似件移入垛堆

B65H33/04 通过将标记纸片插入垛堆或物件流

B65H33/06 通过将物件移动以形成分批物件

B65H33/08 移动整批物件，如形成阶梯形的垛堆

B65H33/10 移动一批物件中的端部物件

B65H33/12 通过在物件流中造成空隙

B65H33/14 通过将分批物件转移到单独的接收装置

B65H33/16 通过将分批中的物件放置到移动的支承件上

B65H33/18 在相邻的分批物件之间有分离器

