Title: 卷绕条材

Code: B65H18/00

========================================

B65H18/02 支承条材辊

B65H18/04 内支承

B65H18/06 侧向支承

B65H18/08 条材卷绕机构

B65H18/10 动力施加于条材辊心轴上的机构

B65H18/12 产生条材的逐步送进

B65H18/14 动力施加于条材辊上的机构，如产生条材的连续送进

B65H18/16 用摩擦辊柱

B65H18/18 产生条材的逐步送进

B65H18/20 条材辊支承在两个平行的辊柱上，其中至少一个是从动的

B65H18/22 用摩擦带

B65H18/24 产生条材的逐步送进

B65H18/26 控制卷绕条材包装件上的接触压力用的机构，例如用于调整条材各层之间的空气量

B65H18/28 条材的卷绕包装件

