Title: 定位物件，如定向物件；所用的装置

Code: B65H9/00

========================================

B65H9/02 定位销

B65H9/04 固定的或可调的停止器或定位装置（定位销入B65H9/02）

B65H9/06 可移动的停止器或定位装置，如升起或降落的前方停止器

B65H9/08 保持物件在定位位置的夹持装置，如指状物、针状物、吸管

B65H9/10 推出器或类似的可移动定位器；将物件移入到定位位置的推出器或夹钳装置

B65H9/12 由物件夹钳运载的

B65H9/14 当物件接近停止器时放慢或控制物件的向前移动

B65H9/16 倾斜条带、辊柱或类似的物件运送侧面定位器

B65H9/18 用诸如反射器、透镜、透明薄片或机械指示器等装置协助的

B65H9/20 用光电、声响或气动指示器协助的

