Title: 单晶或具有一定结构的均匀多晶材料之扩散或掺杂工艺；其所用装置

Code: C30B31/00

========================================

C30B31/02 同固态扩散材料接触的

C30B31/04 同液态扩散材料接触的

C30B31/06 同气态扩散材料接触的

C30B31/08 扩散材料为被扩散元素之化合物的

C30B31/10 反应室；其所用材料的选择

C30B31/12 反应室的加热

C30B31/14 衬底夹持器或基座

C30B31/16 气体供给或排出的装置；气流的变换

C30B31/18 控制或调节

C30B31/20 电磁波辐照或粒子辐射法掺杂

C30B31/22 离子注入法

