Title: 枪托；枪托底板；握把

Code: F41C23/00

========================================

F41C23/02 背带附件

F41C23/04 折叠或可伸缩的枪托或枪托部件

F41C23/06 专门适用于减小后坐力的枪托

F41C23/08 后坐力吸收的缓冲器

F41C23/10 适合于手枪,例如左轮手枪的枪托或握把（F41C23/12优先）

F41C23/12 起稳定作用的辅助枪托，或适合于变换的手枪，例如左轮枪变换为肩射枪

F41C23/14 能调整的枪托或枪托部件，即适合于个人需要的，例如距离、俯仰角、抛投或降落

F41C23/16 前托，握把；手防护装置

F41C23/18 其特征在于使用的材料（F41C23/08优先）

F41C23/20 托，托板；及其固定件（F41C23/08，F41C23/10优先）

F41C23/22 具有储存空间的托

