Title: 用空气或其他气体的增碳制造燃料气（用于内燃机的入F02M）

Code: C10J1/00

========================================

C10J1/02 空气增碳

C10J1/04 供给空气的控制

C10J1/06 用在常温下呈液态的物料

C10J1/08 将空气通过液体或通向液体表面

C10J1/10 用吸收在载体上的液体

C10J1/12 用液体的雾化

C10J1/14 根据空气的供给来控制液体的供给

C10J1/16 用固态烃类（C10J1/207、C10J1/213优先）

C10J1/18 在旋转的增碳器中

C10J1/20 除空气外的气体增碳

C10J1/207 通过在燃料层中对固态含碳物料热解增碳（C10J3/66优先）

C10J1/213 通过在化油器中对固态含碳物料热解增碳

C10J1/22 以防止蒸气沉积的添加料

C10J1/24 控制增碳的空气或气体的湿度

C10J1/26 采用增高的温度或压力（C10J1/207、C10J1/213优先）

C10J1/28 气味风煤气

