Title: 以刀具相对于工件作滚切或包络运动来制作直形齿轮齿

Code: B23F5/00

========================================

B23F5/02 用磨削

B23F5/04 刀具是蜗杆砂轮

B23F5/06 刀具是有前平面的碟形砂轮

B23F5/08 刀具是具有与齿条的单个或多个齿相同齿廓的碟形砂轮

B23F5/10 刀具是具有与冠状齿轮或伞齿轮齿（单个或多个齿）相同齿廓的碟形砂轮

B23F5/12 用刨削或插削

B23F5/14 刀具具有和齿条单个或多个齿同样的齿廓

B23F5/16 刀具形状和正齿轮或其部分齿相类似

B23F5/18 刀具具有和冠状齿轮齿同样的齿廓

B23F5/20 用铣削

B23F5/22 刀具是制造正齿轮用的滚刀

B23F5/24 刀具是制造伞齿轮用的滚刀

B23F5/26 刀具具有和齿条的单个或多个齿相同的齿廓，用于制造正齿轮

B23F5/27 刀具具有和冠状齿轮或伞齿轮的单个或多个齿同样的齿廓

B23F5/28 用拉削；用拉铣

