Title: 专门用于齿轮齿加工机床的工具

Code: B23F21/00

========================================

B23F21/02 碟形砂轮；蜗杆砂轮（磨具整形入B24B；一般磨削刀具入B24D）

B23F21/03 珩具

B23F21/04 刨刀或插刀

B23F21/06 其齿廓与齿轮齿廓相配的

B23F21/08 其齿廓与齿条的一个或多个齿廓相同的

B23F21/10 形状类似于正齿轮或其齿部分的刨齿刀具

B23F21/12 铣刀

B23F21/14 盘形成形铣刀

B23F21/16 齿轮滚刀

B23F21/18 锥形齿轮滚刀，如用于斜齿轮

B23F21/20 飞刀

B23F21/22 用于纵向弯曲轮齿面铣刀

B23F21/23 铣刀齿呈螺旋曲线排列，用于连续铣切过程

B23F21/24 拉铣刀

B23F21/26 拉刀

B23F21/28 剃齿刀

