Title: 防止或显示擅自使用或盗窃自行车的装置；与自行车构成一体的锁（一般防止或显 示使用或盗窃车辆的装置入B60R；锁的一般零件入E05B）

Code: B62H5/00

========================================

B62H5/02 用于锁定转向机构的

B62H5/04 作用在车把或类似件上的

B62H5/06 作用在前轮叉或转向端管上的

B62H5/08 防止传动（通过作用在动力传动装置上的入B62M）

B62H5/10 作用在踏板曲柄上的

B62H5/12 作用在链轮或链条上的

B62H5/14 防止车轮转动的

B62H5/16 作用在车轮部件上的

B62H5/18 作用在制动装置上的（自行车制动器作用机构的锁定装置入B62L3/06）

B62H5/20 显示擅自使用的，例如发生信号的装置

