Title: 固定到线路上的铁路挡车器；固定到线路上的轨道制动器或减速装置；铺砂轨道或 类似物

Code: B61K7/00

========================================

B61K7/02 轨道制动器或减速装置（轨道安装的止轮器的操作机构入B61L）

B61K7/04 有夹紧作用的

B61K7/06 机械操作的

B61K7/08 气动或液力操作的

B61K7/10 电动的

B61K7/12 电力控制的

B61K7/14 铺砂轨道或类似轨道

B61K7/16 强制铁路挡车器

B61K7/18 缓冲挡车器

B61K7/20 强制车轮止动器

B61K7/22 车轴止动器

