Title: 用机械方法精制纸浆悬浮液；此类精制设备

Code: D21D5/00

========================================

D21D5/02 筛浆

D21D5/04 平板筛浆机

D21D5/06 旋转筛鼓筛浆机

D21D5/08 带摇振机构的

D21D5/10 槽摇振的

D21D5/12 筛摇振的

D21D5/14 槽和筛都摇振的

D21D5/16 筛浆机的筛筒和筛板

D21D5/18 借助于离心力的

D21D5/20 有水平轴装置的

D21D5/22 有立轴装置的

D21D5/24 有旋风装置的

D21D5/26 去除浆料中的空气

D21D5/28 贮存或搅拌纸浆用的槽

