Title: 爆破方法或设备，例如装填或捣实

Code: F42D1/00

========================================

F42D1/02 通过将爆破筒装配成组合形（其爆破筒的配接入F42B3/02）

F42D1/04 点火装置

F42D1/045 电点火装置（电机入H02K）

F42D1/05 爆破电路

F42D1/055 专用于有延时引燃多级装药的

F42D1/06 多级装药的相对定时（F42D1/055优先）

F42D1/08 捣实方法；用炸药装填炮孔的方法；其所用设备

F42D1/10 粒状或桨状炸药的装填；用气压或液压装填炸药

F42D1/12 用气压或液压装填捣实的材料

F42D1/14 手工捣实或装填

F42D1/16 捣实工具

F42D1/18 炮孔塞

F42D1/20 捣实筒，即有捣实材料的筒（柔性或可变形爆破筒入F42B3/087）

F42D1/22 爆破筒或捣实筒在炮孔中的支承或定位

F42D1/24 以捣实材料为特征

F42D1/26 用发泡剂捣实

F42D1/28 用胶凝剂捣实

