Title: 电动机、发电机或机电变换器的停止或减速装置（具有电子换向器的同步电动机的停止 入H02P6/24；旋转步进电动机的停止入H02P8/24；矢量控制入H02P21/00）

Code: H02P3/00

========================================

H02P3/02 零部件

H02P3/04 用单独的制动器减速或停车的方法，例如用摩擦制动器、涡流制动器

H02P3/06 用于停止或减速单个电动机或机电变换器的

H02P3/08 用于直流电动机的停止或减速的

H02P3/10 用反接电源的方法的

H02P3/12 用短路或电阻制动的方法的

H02P3/14 应用再生制动的方法的

H02P3/16 用电和机械联合制动的方法的

H02P3/18 用于交流电动机的停止或减速的

H02P3/20 用反接电动机相序的方法的

H02P3/22 用短路或电阻制动的方法的

H02P3/24 用供给电动机直流的方法的

H02P3/26 用电和机械联合制动的方法的

