Title: 与其他计时器无关的并由电动装置维持运转的电动机械钟表（用同步马达驱动的钟入 G04C15/00）

Code: G04C3/00

========================================

G04C3/02 机芯由摆调节的

G04C3/027 电源和摆之间利用电磁耦合的（G04C3/033优先）

G04C3/033 利用扭摆；利用锥形摆

G04C3/04 机芯由摆轮调节的

G04C3/06 电源和摆轮之间利用电磁耦合的

G04C3/08 机芯用与摆或摆轮作用不同的机械振动器调节的，例如，用音叉

G04C3/10 用电磁装置驱动

G04C3/12 用压电装置驱动；用磁致伸缩装置驱动

G04C3/14 装有步进电机（G04C3/02至G04C3/12优先）

G04C3/16 装有电动连续转动马达（G04C3/02至G04C3/12优先）

G04C3/18 装有电—热或电—气动驱动装置

