Title: 具有挠性作用的工作部分的轮，如抛光轮；及其固定件

Code: B24D13/00

========================================

B24D13/02 用其周边作用的

B24D13/04 由围绕轴线配置的多个条或带组成

B24D13/06 这些条或带分别连接

B24D13/08 由并列包着的环状或圆带组成

B24D13/10 由刷子组装而成

B24D13/12 由毡状或海绵状材料，如毡子，钢丝绒，泡沫乳胶组装而成

B24D13/14 用其前面作用的

B24D13/16 由编织的条或带组成

B24D13/18 有冷却装置的

B24D13/20 轮用的固定件

