Title: 研磨体或研磨板的物理特征，如特殊性质的研磨面；研磨体或研磨板的成分特征

Code: B24D3/00

========================================

B24D3/02 用作黏结剂的成分

B24D3/04 基本上是无机的

B24D3/06 金属的

B24D3/08 用于紧密粒状结构，如用低熔点金属

B24D3/10 用于多孔或细胞状结构，如用金刚石作为磨料

B24D3/12 水凝固性的，如混凝土

B24D3/14 陶瓷，即陶瓷黏结剂

B24D3/16 用于紧密粒状结构，即高密度的

B24D3/18 用于多孔或细胞状结构的

B24D3/20 基本上是有机的

B24D3/22 橡胶

B24D3/24 用于紧密粒状结构的

B24D3/26 用于多孔或细胞状结构的

B24D3/28 树脂

B24D3/30 用于紧密粒状结构的

B24D3/32 用于多孔或细胞状结构的

B24D3/34 以增强特殊物理性质，如耐磨性，导电性，自清洁性的添加剂为特征的 黏结砂轮

