Title: 为传输通道提供多用途的装置

Code: H04L5/00

========================================

H04L5/02 以信号形式表征的信道

H04L5/04 用不同幅度或极性表征的信号，例如四路复用系统

H04L5/06 用不同频率表征的信号（与时分多路复用相结合的入H04L5/26）

H04L5/08 用1个固定的频率代表不同信道中的每个信号组合

H04L5/10 带有电动方式产生载波；具有机械滤波器或解调器

H04L5/12 用单载波的不同相位调制表征的信号

H04L5/14 使用相同形式的信号的双向工作，即双工

H04L5/16 半双工系统；单工/双工转换；断路信号的传输

H04L5/18 通信量方向的自动改变

H04L5/20 应用许多线路的不同组合，例如幻象工作

H04L5/22 应用时分多路复用

H04L5/24 带有起止同步变换器

H04L5/26 与不同频率的使用相结合

