Title: 脉冲计数器或分频器的零部件

Code: H03K21/00

========================================

H03K21/02 输入电路

H03K21/08 输出电路

H03K21/10 含有逻辑电路的

H03K21/12 带有并行读出的

H03K21/14 带有串行读出所存储的数码的

H03K21/16 连续十进位脉冲的进位电路

H03K21/17 带有场效应晶体管的

H03K21/18 用于可视化指示结果的电路

H03K21/20 应用辉光放电灯的

H03K21/38 计数器的启动、停止或复位（二进制以外基制的计数器入H03K23/48，H03K23/66）

H03K21/40 监视；错误检测；不适当的计数器运算的防止或校正

