Title: 产生输出数据的永久直观显示的装置（与另一操作相结合的打印或绘图，例如，与传送 操作相结合的入G06K17/00）

Code: G06K15/00

========================================

G06K15/02 使用打印机

G06K15/04 借助于齿条型打印机的

G06K15/06 借助于打印字轮式打印机的

G06K15/07 借助于连续旋转打印字轮式打印机的，例如，旋转滚筒式打印机

G06K15/08 用沿着打印行方向移动的活铅字作输送式打印的，例如，链式打印机

G06K15/10 使用点阵式打印机

G06K15/12 用照相印字的

G06K15/14 用电记录术印字的，例如，静电复印的；用磁刻术印字的

G06K15/16 纸张或表格的馈送装置

G06K15/22 使用绘图机

