Title: 以数字方式标记记录载体的方法或装置

Code: G06K1/00

========================================

G06K1/02 用穿孔法的

G06K1/04 在穿孔的记录载体上，通过读出标记进行控制的

G06K1/05 高速穿孔，例如，用电子计算机控制的

G06K1/06 手动控制的设备

G06K1/08 卡片穿孔

G06K1/10 纸带穿孔

G06K1/12 除穿孔以外的

G06K1/14 通过从同类或不同类记录载体转移数据的

G06K1/16 不用代码表示从一穿孔卡片到一个或多个穿孔卡片的数据再制造，即复制

G06K1/18 从一种记录载体到另一种记录载体上转移数据，例如，从磁带到穿孔卡片

G06K1/20 记录载体和数据打印输出同时发生的标记，例如，打印—穿孔

G06K1/22 在不同的记录载体上，例如，在不同类型的记录载体上，同时发生的标记和打印

