Title: 具有其特征不包含在F04B1/00至F04B17/00组或与之无关的机械或泵

Code: F04B19/00

========================================

F04B19/02 具有可动的缸

F04B19/04 特殊用途泵

F04B19/06 同时输送液体和弹性流体的泵（湿气泵入F04B37/20）

F04B19/08 戽斗装置

F04B19/10 轮式的

F04B19/12 螺旋式或螺杆式的

F04B19/14 循环链型的，例如链传送的活塞与不封口的工作缸配合工作的

F04B19/16 黏着式液体升降装置

F04B19/18 其所用的黏着元件

F04B19/20 其他变容式泵

F04B19/22 往复活塞式

F04B19/24 通过被泵送流体的热膨胀而泵送

