Title: 具有柔性工作件的和专门适应于弹性流体的泵或泵送装置

Code: F04B45/00

========================================

F04B45/02 有波纹管

F04B45/027 具有电力驱动

F04B45/033 具有流体驱动

F04B45/04 具有板状柔性件，例如隔膜（F04B45/10优先）

F04B45/047 具有电力驱动的泵

F04B45/053 具有流体驱动的泵

F04B45/06 具有管状柔性件（F04B45/02，F04B45/08优先）

F04B45/067 具有电力驱动的泵

F04B45/073 具有流体驱动的泵

F04B45/08 具有蠕动动作的

F04B45/10 具有板状柔性件

