Title: 链（其制造入B21L）

Code: F16G13/00

========================================

F16G13/02 传动链

F16G13/04 齿链

F16G13/06 链节由平行的传动销连接，带或不带滚柱

F16G13/07 链节是同一形状的，如曲柄状的

F16G13/08 链节紧紧放在连接销上（F16G13/04优先）

F16G13/10 带万向节

F16G13/12 牵引链或起重链

F16G13/14 由易分开的链节构成

F16G13/16 带有夹持电缆，软管或类似件的装置

F16G13/18 具有特殊综合特性的链

F16G13/20 刚性的；推拉链

F16G13/22 可延伸的

F16G13/24 弹性的

