Title: 润滑组合物的特定用途或应用〔4〕

Code: C10N40/00

========================================

C10N40/02 轴承

C10N40/04 油浴；齿轮箱；自动变速装置；牵引联动装置

C10N40/06 仪器或其他精密设备，如阻尼液

C10N40/08 液压液，如刹车液

C10N40/10 磨合用润滑油

C10N40/12 燃气轮机

C10N40/13 飞机透平

C10N40/14 电或磁方面

C10N40/16 电介质；绝缘油

C10N40/18 与磁带或唱片上的录音有关

C10N40/20 金属加工

C10N40/22 主要用来切削材料

C10N40/24 主要在切削材料以外；冲压金属

C10N40/25 内燃机

C10N40/26 双冲程

C10N40/28 旋转的

C10N40/30 冷冻机润滑剂

C10N40/32 钢丝、绳或缆索润滑剂

C10N40/34 润滑的密封胶

C10N40/36 脱模剂

