Title: H01G4/00-H01G11/00组中单个组未包含的电容器的零部件

Code: H01G2/00

========================================

H01G2/02 安装

H01G2/04 特别适用于在底座上安装

H01G2/06 特别适用于在印刷电路底座上安装

H01G2/08 冷却装置；加热装置；通风装置

H01G2/10 外壳；封装

H01G2/12 防腐蚀保护（H01G2/10优先）

H01G2/14 防电或热过载的保护（用冷却法的入H01G2/08）

H01G2/16 带有熔断元件的保护

H01G2/18 带有可断开触头的保护

H01G2/20 防止电极边缘放电的装置

H01G2/22 静电或磁的屏蔽

H01G2/24 识别码，例如色码

