Title: 用机械方式改变电容量的电容器，如通过转动旋转轴；其制造方法

Code: H01G5/00

========================================

H01G5/01 零部件

H01G5/011 电极

H01G5/012 至少一个电极是放在液体或粉末中的电极

H01G5/013 电介质

H01G5/014 外壳；封装

H01G5/015 集电器

H01G5/017 温度补偿

H01G5/019 电容特性校准装置

H01G5/04 用改变电极有效面积的

H01G5/06 适当旋转平板或基本上是平板的电极

H01G5/08 变成连续作用的

H01G5/10 适当旋转螺旋电极

H01G5/12 适当旋转部分圆柱形电极、圆锥形或球形电极

H01G5/14 电极适当纵向移动

H01G5/16 改变电极间距离

H01G5/18 用例如弯曲或螺旋缠绕适当改变倾斜角

H01G5/38 多联电容器，例如联动电容器

H01G5/40 可变电容器与本小类不包含的电元件的结构组合，以电容器为主的结构，例如RC组合

