Title: 车上货物的固定或覆盖

Code: B60P7/00

========================================

B60P7/02 货物的覆盖

B60P7/04 用篷布或类似柔性料的

B60P7/06 货物的固定（车辆定位器入B60P3/073）

B60P7/08 固定在车地板或两侧的（B60P7/13，B60P7/135优先）

B60P7/10 货物为板、盒或箱

B60P7/12 货物为树干、梁、鼓筒、管或类似物

B60P7/13 车上固定货运集装箱或转运集装箱

B60P7/135 由承载支承装置安装或支承的

B60P7/14 承载支承装置包括可动隔板的

B60P7/15 承载支承装置包括可动杆件的

B60P7/16 防冲击装置

B60P7/18 货运集装箱或转运集装箱的防护

