Title: 杆、球棒、球拍或类似物到运动行为到应用

Code: A63B102/00

========================================

A63B102/02 网球

A63B102/04 羽毛球

A63B102/06 壁球

A63B102/08 美式乒乓球，板网球或平台网球

A63B102/10 毽球

A63B102/12 板羽球

A63B102/14 长曲棍球

A63B102/16 乒乓球

A63B102/18 棒球，圆场球或类似的游戏

A63B102/20 板球

A63B102/22 曲棍球

A63B102/24 冰曲棍球

A63B102/26 爱尔兰式曲棍球

A63B102/28 早期曲棍球

A63B102/30 福乐球

A63B102/32 高尔夫球

A63B102/34 马球

A63B102/36 槌球

A63B102/38 门球

