Title: 跳跃用器械（跳跃用的垫子入A63B6/00；为赛跑或骑马运动用的，例 如跨栏，入A63K）

Code: A63B5/00

========================================

A63B5/02 跳高标杆

A63B5/04 所用的绳索

A63B5/06 撑竿跳高用的竿

A63B5/08 跳板（蹦床类型入A63B5/11）

A63B5/10 水上运动用的

A63B5/11 蹦床

A63B5/12 加软垫的跳跃运动器械，例如木马、鞍马、跳桌

A63B5/16 跳跃用的训练装置；腾空跳跃用的装置；跳跃辅助设备

A63B5/20 跳绳

A63B5/22 跳跃运动用的障碍

