Title: 带或不带气压调节碳化钙供料的乙炔发生器

Code: C10H15/00

========================================

C10H15/02 非自动供给碳化钙

C10H15/04 装料斗上的关闭装置

C10H15/06 以阀门自动供给碳化钙

C10H15/08 用闸阀或滑阀

C10H15/10 用浮阀

C10H15/12 用计量阀，包括星形轮

C10H15/14 带进料螺杆或进料输送器

C10H15/16 带进料鼓轮

C10H15/18 带可移动的进料盘及固定的碳化钙容器

C10H15/20 以筒或其他包装形式供给碳化钙

C10H15/22 从贮罐或通过储气罐供给粉状碳化钙

C10H15/24 用活塞供给碳化钙

