Title: 铸造铅版；其机械、铸模或装置

Code: B41D3/00

========================================

B41D3/02 铸造平铅版用的水平铸模

B41D3/04 用于铸造曲面型板（如半圆柱面型）的印版的铸模，如水平铸模

B41D3/06 立铸模

B41D3/08 用于铸造管型（即滚筒型）印版的铸模，如水平铸模

B41D3/10 立铸模

B41D3/12 多铸模浇铅版机

B41D3/14 零件

B41D3/16 字模夹

B41D3/18 铸模开闭装置

B41D3/20 熔铅锅

B41D3/22 用泵将熔化金属送入铸造腔或箱

B41D3/24 带控制阀的

B41D3/26 带有搅动熔化金属的装置的

B41D3/28 铸模冷却装置

