Title: 基于有1个或多个不饱和脂族基化合物的均聚物或共聚物的黏合剂，其中每个不饱和脂族 基只有1个碳-碳双键，并且至少1个是以芳族碳环为终端；基于此种聚合物衍生物的黏合 剂

Code: C09J125/00

========================================

C09J125/02 烃的均聚物或共聚物

C09J125/04 苯乙烯的均聚物或共聚物

C09J125/06 聚苯乙烯

C09J125/08 苯乙烯的共聚物（C09J129/08、C09J135/06、C09J155/02优先）

C09J125/10 与共轭二烯

C09J125/12 与不饱和腈

C09J125/14 与不饱和酯

C09J125/16 烷基取代苯乙烯的均聚物或共聚物

C09J125/18 含有除碳和氢之外元素的芳族单体的均聚物或共聚物

