Title: 基于有1个或多个不饱和脂族基的化合物的均聚物或共聚物的黏合剂，其中每个不饱和脂 族基只有1个碳-碳双键，并且至少有1个是以卤素为终端；基于此种聚合物衍生物的黏合 剂

Code: C09J127/00

========================================

C09J127/02 未经化学后处理改性的

C09J127/04 含氯原子的

C09J127/06 氯乙烯的均聚物或共聚物

C09J127/08 1，1-二氯乙烯的均聚物或共聚物

C09J127/10 含溴或碘原子的

C09J127/12 含氟原子的

C09J127/14 氟乙烯的均聚物或共聚物

C09J127/16 1，1-二氟乙烯的均聚物或共聚物

C09J127/18 四氟乙烯的均聚物或共聚物

C09J127/20 六氟丙烯的均聚物或共聚物

C09J127/22 由化学后处理改性的

C09J127/24 卤化的

