Title: 将一个部件从一个位置移到另一个位置的流体致动装置；与其相连的传动装置

Code: F15B15/00

========================================

F15B15/02 以将流体致动元件的运动转换成最终操作元件的运动的方法为特点的机械布置

F15B15/04 带有摆动缸的

F15B15/06 以机械方式将直线运动转换成非直线运动用的

F15B15/08 以马达结构为特征的

F15B15/10 隔膜式马达

F15B15/12 摆动叶片或曲缸型的

F15B15/14 直缸型的

F15B15/16 伸缩型的

F15B15/17 差动活塞型的

F15B15/18 包括马达和泵的组合机组

F15B15/19 烟火的致动装置

F15B15/20 其他零件

F15B15/22 为加速或减速行程的

F15B15/24 为限制冲程的

F15B15/26 锁紧机构

F15B15/28 位置，如冲程端位指示装置

