Title: 伺服马达系统的元件（F15B15/00优先）

Code: F15B13/00

========================================

F15B13/01 闭锁阀或其他制动装置

F15B13/02 以适用于伺服马达的控制为特征的流体分配或供给装置（多路阀入F16K11/00）

F15B13/04 与单个伺服马达一起使用的

F15B13/042 流体压力操作的

F15B13/043 带有电控先导阀的

F15B13/044 电控装置操作的，例如用电磁铁、力矩马达

F15B13/06 同两台或两台以上的伺服马达一起使用的

F15B13/07 按特有的顺序动作的

F15B13/08 装置的组合，其中每一装置只控制1台伺服马达

F15B13/10 不使用流体压力来操作被驱动设备的特殊装置，如应急使用的

F15B13/12 增加系统的灵敏度的特殊措施

F15B13/14 使操作者通过触觉直接感应致动装置的特殊措施

F15B13/16 反馈的特殊措施

