Title: 成型材料的条件、形状或状态

Code: B29K105/00

========================================

B29K105/02 可热收缩的

B29K105/04 蜂窝状或多孔状的

B29K105/06 包含增强物、填料或嵌入物

B29K105/08 连续长度的，如绳索、粗纱、织物、纤维、合股线或纱线

B29K105/10 定向的

B29K105/12 短长度的，如切断的细丝、人造短纤维或鬃毛

B29K105/14 定向的

B29K105/16 填料

B29K105/18 定向的

B29K105/20 嵌入物

B29K105/22 金属的

B29K105/24 交联的或硫化的

B29K105/26 碎片的

B29K105/28 不透明的

B29K105/30 反光的

B29K105/32 透明的

B29K105/34 绝缘的 增强材料的成分

