Title: 微晶玻璃陶瓷，即结晶相分散于玻璃相中，并至少为总组成的50（重量）的微晶玻璃

Code: C03C10/00

========================================

C03C10/02 非二氧化硅及非硅酸盐结晶相，例如尖晶石、钛酸钡

C03C10/04 硅酸盐或多硅酸盐结晶相，例如莫来石、透辉石、硝石、斜长石

C03C10/06 二价金属氧化物的铝硅酸盐结晶相，例如钙长石、矿渣陶瓷

C03C10/08 铝硅酸镁，例如堇青石

C03C10/10 碱金属铝硅酸盐结晶相

C03C10/12 锂铝硅酸盐，例如锂辉石、锂霞石

C03C10/14 二氧化硅结晶相，例如填塞石英、方石英

C03C10/16 含卤素的结晶相

