Title: 印版或箔；及其所用材料

Code: B41N1/00

========================================

B41N1/02 用石料制作

B41N1/04 金属的

B41N1/06 用于凸版印刷或凹版印刷

B41N1/08 用于平版印刷

B41N1/10 复式的

B41N1/12 除石料外的非金属

B41N1/14 平版印刷箔

B41N1/16 曲面印版，特别是滚筒

B41N1/18 用石料制作

B41N1/20 用金属制作

B41N1/22 用其他材料制作

B41N1/24 模版；模版材料；其支架（用于办公或其他商业使用的模版设备入B41L13/00）

