Title: 向燃料—空气混合气中加入二次空气用的装置

Code: F02M23/00

========================================

F02M23/02 用人控制

F02M23/03 由主燃气节流控制的二级风门

F02M23/04 用自动控制的

F02M23/06 取决于发动机速度的控制

F02M23/08 取决于主燃烧空气输送系统中的压力

F02M23/09 采用由低压直接开启的阀

F02M23/10 取决于温度，如发动机的温度

F02M23/12 以与再雾化冷凝燃料装置组合或以引起冷凝燃料再雾化的二次空气为特点的

F02M23/14 以加入热空气为特点的

