Title: 只包含天然的纤维素或木化纤维素纤维的纸浆或纸

Code: D21H11/00

========================================

D21H11/02 化学或化学机械浆

D21H11/04 牛皮纸浆或硫酸盐纸浆

D21H11/06 亚硫酸盐或亚硫酸氢盐纸浆

D21H11/08 机械浆或热磨机械浆

D21H11/10 化学浆和机械浆的混合物

D21H11/12 非木本植物的或庄稼，如棉花、亚麻、各草类或甘蔗渣的

D21H11/14 二次纤维（加工废纸入D21C5/02）

D21H11/16 利用特殊的后处理改性

D21H11/18 充分水化的、润胀的或纤维化的纤维

D21H11/20 化学或生物化学改性的纤维

D21H11/22 阳离子化的

