Title: 软轴（用于牙科钻孔或切割器械中的软轴入A61C1/18）；在挠性护套中传递运动的机械 装置

Code: F16C1/00

========================================

F16C1/02 用于传递旋转运动

F16C1/04 铰节轴

F16C1/06 带有导套、管或箱（F16C1/04优先；导套入F16C1/26）

F16C1/08 端头连接

F16C1/10 在挠性护套中传递直线运动用的装置，如“鲍顿机构”（导套入F16C1/26）

F16C1/12 向或从挠性元件传递运动用的装置

F16C1/14 挠性元件接头的结构；其与挠性元件的连接

F16C1/16 其中的接头是直线导向的

F16C1/18 其中挠性元件的端部是沿枢轴上回转元件的曲面放置的

F16C1/20 在护套中往复运动挠性元件的结构

F16C1/22 调整；补偿长度

F16C1/24 润滑；润滑设备

F16C1/26 导套或导管的结构

F16C1/28 带有内装轴承

