Title: 专用于旋转运动的滑动接触轴承（F16C32/06优先；可调轴承入F16C23/00， F16C25/00）

Code: F16C17/00

========================================

F16C17/02 仅用于径向负载

F16C17/03 带有可倾支撑块，如米歇尔轴承

F16C17/04 仅用于轴向负载

F16C17/06 带有可倾支撑块，如米歇尔轴承

F16C17/08 用于支撑轴或其他元件的端面，如止推轴承

F16C17/10 用于轴向和径向负载

F16C17/12 以与负载方向无关为特征的

F16C17/14 专门适用于在水中工作

F16C17/18 带有浮动铜衬或衬套，减速时可旋转

F16C17/20 带有安全支架或支座

F16C17/22 带有补偿热膨胀的装置

F16C17/24 带有受反常的或不希望有的情况影响的装置，如用于防止过热的，用于安全的

F16C17/26 由多个滑动接触轴承组成的系统

