Title: 轴承部件的刚性支架；轴承箱，如轴承盖（F16C23/00优先）

Code: F16C35/00

========================================

F16C35/02 在滑动接触轴承的情况下

F16C35/04 在滚珠或滚柱轴承的情况下

F16C35/06 滚珠或滚柱轴承的安装；将轴承固定在轴上或轴承箱内

F16C35/063 将轴承固定在轴上（带有一个插入元件的入F16C35/07）

F16C35/067 将轴承固定在轴承箱内（带有一个插入元件的入F16C35/07）

F16C35/07 将轴承固定在轴上或轴承箱内，并带一个插入元件

F16C35/073 在轴和轴承内圈之间

F16C35/077 在轴承箱和轴承外圈之间

F16C35/078 利用压力流体作为辅助安装

F16C35/08 用于心轴

F16C35/10 带滑动接触轴承

F16C35/12 带滚珠或滚柱轴承

