Title: 浮法玻璃的成形

Code: C03B18/00

========================================

C03B18/02 板玻璃的成型

C03B18/04 熔融玻璃带尺寸的改变或调节

C03B18/06 使用机械方法，如闸杆，辊式拉边器

C03B18/08 使用气体

C03B18/10 使用电装置

C03B18/12 多层的，着色的或装甲玻璃的制造（化学方面入C03C）

C03B18/14 改变玻璃带的表面，如粗糙性（用化学方法入C03C）

C03B18/16 浮抛窑的结构；浮抛窑使用的材料；池壁的涂层或保护

C03B18/18 浮抛槽温度的控制或调节；浮抛槽的构成或净化

C03B18/20 浮抛槽上气氛的组成；槽上气氛的处理或提纯

C03B18/22 浮抛窑上气氛温度的控制或调节

