Title: 玻璃制品在制造过程中的运输

Code: C03B35/00

========================================

C03B35/04 热空心玻璃制品的运输（C03B35/26优先）

C03B35/06 热空心玻璃制品往退火窑或热窑内的送入

C03B35/08 使用直接作用在制品上的旋转装置

C03B35/10 使用直接作用在制品上的往复运动装置，如推动器、送料器

C03B35/12 采用托起或沉降法

C03B35/14 热玻璃板的运输

C03B35/16 使用辊式输送机

C03B35/18 输送机辊的结构

C03B35/20 使用两用钳或支架

C03B35/22 在流体支承床上，如金属液上面

C03B35/24 在气体支承床上

C03B35/26 玻璃管或棒的运输

