Title: 玻璃的压制

Code: C03B11/00

========================================

C03B11/02 使用装有转台的玻璃压制机

C03B11/04 使用带有吸料法装料模的压制机

C03B11/05 使用带有往复运动模的压制机

C03B11/06 冲头或模的构造

C03B11/07 真空吸料模

C03B11/08 用于制造实心玻璃制品的，如透镜片

C03B11/10 用于制造空心玻璃制品的

C03B11/12 冲头、模具或玻璃压制机的冷却、加热或保温（C03B9/38优先）

C03B11/14 装有金属嵌入体

C03B11/16 玻璃压制机专用的传动或控制机械

