Title: 手工工具或使用手持工具的装置，用于把液体或其他流体涂布在表面上，用于对表 面涂敷液体或其他流体的铺开，或从表面上部分地除掉液体或其他流体（刷子入 A46B）

Code: B05C17/00

========================================

B05C17/005 靠压力将材料排出出口孔的（B05C17/02优先）

B05C17/01 具有机械或电动驱动的活塞或类似物的

B05C17/015 具有气动驱动的活塞或类似物的

B05C17/02 辊

B05C17/025 具有自备容器的

B05C17/03 具有供给来自外源材料的送料系统的

B05C17/035 直接供给辊的外表面的

B05C17/04 油印辊

B05C17/06 油印用的蜡纸（B05C17/04优先）

B05C17/08 蜡纸夹持器

B05C17/10 手工工具，用于部分地除去、涂敷或再加涂液体或其他流体，如颜料补涂工具

B05C17/12 制造图案的其他手工工具

