Title: 使工件与大量液体或其他流体在其内部相接触的容器（B05C19/00优先）

Code: B05C3/00

========================================

B05C3/02 把工件浸入液体或其他流体中

B05C3/04 用专用设备搅动工件或搅动液体或其他流体

B05C3/05 上述设备应用振动

B05C3/08 在容器中工件和液体或其他流体被一起搅动，如滚筒（B05C3/05优先）

B05C3/09 处理单独的物品

B05C3/10 移动物品通过液体或其他流体

B05C3/109 液体或其他流体进入或通过装有固定物品的容器

B05C3/12 处理长度不定的工件

B05C3/132 支撑在传送装置上

B05C3/15 不支撑在传送装置上

B05C3/152 工件以Z字形方式通过滚子

B05C3/172 用循环方式

B05C3/18 工件只有一面与液体或其他流体接触（B05C3/02优先）

B05C3/20 仅在工件的个别部分涂布液体或其他流体（B05C3/02优先）

