Title: 电线或电缆的架空安装（母线的安装入H02G5／00）

Code: H02G7/00

========================================

H02G7/02 调节或保持机械张力的装置，例如拉紧装置

H02G7/04 减缓机械张力的装置或设备

H02G7/05 电缆或电线用悬挂装置或设备

H02G7/06 沿着单独的支持线悬挂电线或电缆，例如S形挂钩

H02G7/08 夹到支持线或夹到电线或电缆的构件

H02G7/10 同时捆绕在支持线及电线或电缆周围的可弯曲构件或绳套

H02G7/12 保持平行导体间距的装置，例如间隔器

H02G7/14 阻尼线路机械振荡的装置或设备，例如用于减少噪声的产生

H02G7/16 从电线或电缆上除冰或雪的装置

H02G7/18 电线或电缆一旦断裂用作机械保护的装置，例如截挡断线的网

H02G7/20 电线或电缆在杆、柱或塔上的空间安排或配置

H02G7/22 悬挂在杆顶间的接地线的配置

