Title: 鞣制；鞣制组合物

Code: C14C3/00

========================================

C14C3/02 化学鞣制

C14C3/04 无机鞣制

C14C3/06 应用铬化合物

C14C3/08 使用有机试剂

C14C3/10 植物鞣制

C14C3/12 使用纯化或改性的植物鞣剂

C14C3/14 油脂鞣；油鞣

C14C3/16 使用脂族醛

C14C3/18 使用缩聚产品或缩聚产品的母体

C14C3/20 磺化的

C14C3/22 使用聚合产品

C14C3/24 使用木质素衍生物，如硫酸盐溶液

C14C3/26 使用其他含卤素的有机物

C14C3/28 多级工序

C14C3/30 使用物理与化学相结合的方法

C14C3/32 从皮革中回收鞣剂

