Title: 粒子或电离辐射的处理装置，如聚焦或慢化

Code: G21K1/00

========================================

G21K1/02 使用光阑、准直器

G21K1/04 应用可变光阑、活门、斩波器

G21K1/06 应用衍射、折射或反射，如单色仪（G21K1/10，G21K7/00优先）

G21K1/08 用电或磁装置使束流偏转、集中或聚焦（放电管的电子光学的装置入H01J29/46）

G21K1/087 用电的装置

G21K1/093 用磁的装置

G21K1/10 散射器件；吸收器件

G21K1/12 共振吸收器或其驱动设备，如穆斯堡尔效应装置

G21K1/14 使用电荷交换器件，例如用于束流的电荷中性化或改变其符号

G21K1/16 应用极化装置，如用于获得极化的离子束

G21K1/20 用于约束带电粒子或处理约束的带电粒子，例如离子

G21K1/30 用于约束中性粒子或处理约束的中性粒子，例如原子

