Title: 立体摄影术

Code: G03B35/00

========================================

G03B35/02 按顺序记录的

G03B35/04 在确定两个或多个观察点的系统中光束选择构件运动的

G03B35/06 在两次曝光之间透镜或片门作轴向运动的

G03B35/08 同时记录的

G03B35/10 具有立体镜定基系统的单个摄影（照相）机的

G03B35/12 在一张彩色片上对不同观看点的像以不同的颜色记录的

G03B35/14 专用于不同类型记录之间转换的印片设备（G03B42/08优先）

G03B35/16 按顺序观看的

G03B35/18 同时观看的

G03B35/20 应用两个或多个放映机

G03B35/22 应用具有立体镜定基系统的单个的放映机

G03B35/24 在屏幕或屏幕与眼睛之间应用孔的或折射的分像装置

G03B35/26 应用偏振光或彩色光来分离不同观看点的影像

