Title: 摄影的特殊操作；所用的设备

Code: G03B15/00

========================================

G03B15/02 场面照明

G03B15/03 相机和灯光设备的联合；闪光单元

G03B15/035 相机和白炽灯的联合

G03B15/04 相机和非电子闪光设备的联合；非电子闪光单元

G03B15/05 相机和电子闪光设备的联合；电子闪光单元

G03B15/06 屏蔽、散射或反射装置的特殊结构，例如，在摄影室的

G03B15/07 摄影室灯光的布置

G03B15/08 特技摄影

G03B15/10 应用背景投影，即以真实前景与人为的背景融合

G03B15/12 应用反射镜

G03B15/14 医疗手术时的摄影

G03B15/16 运动物体轨迹的摄影（高速摄影术入G03B39/00）

